Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,135.889999,135.979996,132.199997,133.750000,132.146973,2949200
2018-01-03,134.009995,136.800003,133.699997,136.449997,134.814606,1507900
2018-01-04,136.850006,137.149994,134.949997,135.699997,134.073608,3187000
2018-01-05,136.449997,136.449997,134.199997,134.399994,132.789185,3404400
2018-01-08,134.110001,136.580002,134.110001,136.339996,134.705917,3275500
2018-01-09,136.520004,138.300003,136.000000,137.710007,136.059525,3071500
2018-01-10,136.910004,137.789993,136.509995,137.699997,136.049637,1143500
2018-01-11,136.649994,139.539993,136.649994,139.429993,137.758896,1408700
2018-01-12,140.110001,140.259995,138.529999,139.779999,138.104706,1806800
2018-01-16,141.360001,141.389999,138.350006,139.119995,137.452621,2531800
2018-01-17,140.210007,142.639999,139.839996,142.000000,140.298096,2414100
2018-01-18,141.649994,142.690002,140.869995,141.130005,139.438522,1691100
2018-01-19,141.619995,144.070007,141.440002,144.070007,142.343307,3267100
2018-01-22,144.250000,144.289993,142.070007,143.809998,142.086395,2153900
2018-01-23,143.539993,146.429993,143.039993,145.800003,144.052551,1540300
2018-01-24,146.119995,146.690002,143.830002,144.389999,142.659454,3736600
2018-01-25,144.520004,146.059998,143.990005,145.500000,143.756149,1197800
2018-01-26,145.710007,147.149994,144.919998,147.139999,145.376495,1113300
2018-01-29,146.660004,148.910004,145.770004,147.990005,146.216309,2200800
2018-01-30,148.220001,149.210007,147.059998,147.270004,145.504929,1664500
2018-01-31,147.419998,148.660004,146.929993,147.339996,145.574097,2329800
2018-02-01,146.600006,148.259995,145.820007,147.520004,145.751938,1676600
2018-02-02,146.690002,147.009995,140.970001,141.169998,139.478058,2672300
2018-02-05,140.820007,142.600006,136.279999,136.339996,134.705917,2921200
2018-02-06,134.070007,140.229996,131.000000,140.029999,138.351700,2881900
2018-02-07,139.250000,142.770004,138.660004,139.639999,137.966400,1806400
2018-02-08,139.610001,139.940002,133.809998,133.880005,132.275421,2964400
2018-02-09,134.539993,137.470001,131.100006,136.289993,134.656525,2885100
2018-02-12,137.419998,139.929993,137.270004,139.100006,137.432861,2835100
2018-02-13,138.449997,141.020004,137.710007,140.610001,138.924744,1977800
2018-02-14,141.000000,145.399994,140.320007,145.240005,143.499283,3561700
2018-02-15,142.119995,144.949997,140.850006,141.289993,139.596603,4295600
2018-02-16,140.759995,141.440002,138.479996,138.500000,136.840042,2855600
2018-02-20,138.139999,140.949997,138.130005,140.440002,138.756805,2162100
