Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,63.540001,64.669998,63.369999,64.309998,63.980152,5138800
2018-01-03,64.550003,65.750000,64.400002,65.309998,64.975021,4383900
2018-01-04,65.750000,65.870003,64.360001,64.660004,64.328362,3919800
2018-01-05,64.879997,66.470001,64.489998,66.370003,66.029594,4999100
2018-01-08,66.489998,67.269997,65.650002,66.629997,66.288254,4622400
2018-01-09,66.750000,66.750000,64.900002,66.190002,65.850517,5995900
2018-01-10,65.930000,66.940002,65.779999,66.830002,66.487228,4504000
2018-01-11,68.290001,69.330002,67.230003,69.239998,68.884865,8176300
2018-01-12,69.699997,70.709999,69.050003,70.360001,69.999123,8021900
2018-01-16,70.919998,71.180000,68.400002,68.709999,68.357590,5371700
2018-01-17,69.970001,70.820000,68.790001,70.360001,69.999123,7056600
2018-01-18,70.110001,70.720001,69.169998,69.800003,69.442001,5620200
2018-01-19,70.220001,70.839996,69.480003,70.570000,70.208046,5210000
2018-01-22,70.449997,71.400002,69.680000,71.300003,70.934303,3862700
2018-01-23,71.320000,72.370003,71.150002,71.550003,71.183022,5194900
2018-01-24,71.660004,71.900002,69.879997,70.080002,69.720566,9137400
2018-01-25,70.599998,71.199997,69.949997,70.820000,70.456764,4676900
2018-01-26,71.339996,72.589996,70.760002,72.519997,72.148041,5748500
2018-01-29,72.500000,72.680000,71.699997,72.449997,72.078400,7863800
2018-01-30,71.440002,71.879997,70.730003,71.610001,71.242714,5284600
2018-01-31,72.959999,74.940002,72.959999,74.129997,73.749786,7059000
2018-02-01,73.480003,74.239998,73.160004,73.349998,72.973785,5137000
2018-02-02,72.660004,72.959999,71.379997,71.419998,71.053688,6198400
2018-02-05,70.540001,71.129997,66.910004,67.980003,67.631332,10160700
2018-02-06,66.000000,69.839996,65.720001,69.699997,69.342506,10524300
2018-02-07,69.620003,70.860001,69.430000,69.459999,69.103737,6255200
2018-02-08,69.629997,69.790001,65.760002,65.830002,65.492363,11179300
2018-02-09,66.989998,67.779999,63.320000,67.080002,66.735947,18582300
2018-02-12,67.160004,69.199997,67.160004,68.320000,67.969589,8315700
2018-02-13,67.959999,68.209999,67.180000,68.029999,67.681076,5373600
2018-02-14,67.209999,69.900002,67.110001,69.650002,69.292770,7197600
2018-02-15,70.000000,72.070000,69.050003,71.989998,71.620766,6182500
2018-02-16,71.959999,72.129997,69.790001,70.190002,69.830002,6497700
2018-02-20,69.970001,71.290001,69.750000,70.839996,70.476662,5386400
2018-02-21,70.900002,71.839996,70.220001,70.220001,69.859848,5555700
2018-02-22,70.059998,70.699997,69.070000,69.489998,69.133583,5229200
2018-02-23,69.949997,72.070000,69.790001,72.070000,71.700356,5842100
2018-02-26,72.680000,74.120003,72.680000,73.160004,72.784767,4868500
2018-02-27,73.050003,73.360001,72.019997,72.610001,72.237587,4141800
2018-02-28,73.150002,74.820000,72.970001,73.129997,72.754913,7469700
2018-03-01,73.160004,73.419998,71.519997,72.010002,71.640663,8123900
