Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,78.220001,78.309998,76.879997,77.019997,73.816490,4009000
2018-01-03,77.330002,77.589996,76.900002,77.010002,73.806915,3369300
2018-01-04,77.230003,78.220001,77.059998,77.910004,74.669487,3608500
2018-01-05,78.040001,78.330002,77.230003,77.839996,74.602394,4152500
2018-01-08,77.820000,78.580002,77.820000,78.480003,75.215775,3126900
2018-01-09,78.540001,78.720001,78.050003,78.620003,75.349953,3436500
2018-01-10,78.650002,78.650002,77.400002,77.889999,74.650307,3823700
2018-01-11,78.019997,78.199997,77.019997,77.129997,73.921921,3493700
2018-01-12,77.349998,77.570000,76.599998,77.349998,74.132774,4223500
2018-01-16,77.970001,78.919998,77.559998,78.639999,75.369118,5327800
2018-01-17,79.110001,80.669998,78.790001,80.070000,76.739639,6506100
2018-01-18,80.160004,80.599998,79.019997,79.269997,75.972908,3447200
2018-01-19,79.529999,79.959999,79.099998,79.660004,76.346695,3749400
2018-01-22,79.820000,80.449997,79.760002,80.169998,76.835480,3988300
2018-01-23,79.760002,80.529999,79.559998,80.269997,76.931320,2833000
2018-01-24,80.500000,80.589996,79.709999,79.860001,76.538368,3119600
2018-01-25,80.000000,80.445000,79.382004,79.669998,76.356277,2927300
2018-01-26,79.900002,80.000000,78.400002,79.389999,76.087914,4772400
2018-01-29,79.169998,79.879997,78.389999,78.419998,75.158272,3280500
2018-01-30,78.639999,79.660004,78.430000,78.500000,75.234932,3334300
2018-01-31,78.620003,78.879997,77.849998,78.389999,75.129517,4855700
2018-02-01,78.120003,78.949997,77.599998,78.570000,75.302025,3119800
2018-02-02,78.120003,78.339996,76.650002,77.190002,73.979439,5239700
2018-02-05,77.290001,77.939003,74.175003,74.260002,71.171288,5372900
2018-02-06,73.839996,74.320000,72.050003,74.309998,71.219208,7556400
2018-02-07,73.839996,74.709999,73.519997,73.550003,70.490829,6753700
2018-02-08,73.599998,74.040001,71.250000,71.580002,68.602760,8210800
2018-02-09,72.000000,72.660004,70.245003,71.379997,68.411087,6871000
2018-02-12,71.519997,72.629997,71.449997,71.809998,68.823196,4372900
2018-02-13,71.519997,71.989998,70.680000,71.709999,68.727364,4043600
2018-02-14,71.339996,72.040001,70.699997,71.919998,68.928627,5503100
2018-02-15,72.190002,72.779999,70.650002,72.709999,69.685768,7410900
2018-02-16,69.940002,71.250000,67.650002,70.800003,67.855209,15009000
2018-02-20,70.779999,70.800003,68.019997,68.690002,65.832962,8715200
2018-02-21,68.919998,68.930000,67.440002,67.470001,64.663719,6647900
2018-02-22,67.379997,68.249001,67.050003,67.639999,64.826637,5972000
2018-02-23,67.959999,69.110001,67.349998,69.019997,66.149239,5740900
2018-02-26,69.599998,70.000000,68.559998,69.739998,66.839294,7520500
2018-02-27,69.610001,70.014999,67.860001,67.870003,65.047073,5412100
2018-02-28,68.269997,68.589996,67.029999,67.050003,64.261185,6193000
2018-03-01,67.139999,67.988998,66.360001,66.889999,64.107834,5209600
2018-03-02,67.019997,67.610001,66.519997,67.169998,64.376190,4820800
2018-03-05,66.720001,67.730003,66.720001,67.430000,64.625366,3910800
2018-03-06,67.699997,67.870003,67.230003,67.769997,64.951241,3539400
2018-03-07,67.349998,67.589996,66.730003,67.459999,64.654129,3316500
2018-03-08,67.169998,67.360001,66.464996,66.989998,64.804070,3508400
2018-03-09,67.199997,67.599998,66.529999,67.230003,65.036247,4911000
2018-03-12,67.260002,67.889999,67.099998,67.699997,65.490898,2653200
2018-03-13,67.839996,67.949997,67.160004,67.370003,65.171677,3360700
2018-03-14,67.610001,67.910004,66.220001,66.580002,64.407455,3900900
2018-03-15,66.400002,66.669998,65.114998,65.459999,63.323994,4870800
2018-03-16,65.449997,65.839996,64.940002,65.360001,63.227253,7204500
2018-03-19,65.180000,65.360001,63.580002,63.950001,61.863270,6947200
2018-03-20,64.029999,64.209999,62.820000,63.180000,61.118393,7502500
2018-03-21,62.529999,62.759998,61.750000,61.990002,59.967224,7088700
2018-03-22,61.730000,61.959999,60.490002,60.529999,58.554863,8156600
2018-03-23,60.730000,61.657001,59.950001,60.029999,58.071182,6316300
2018-03-26,60.880001,61.730000,60.529999,61.650002,59.638321,5310600
2018-03-27,61.740002,61.980000,60.389999,60.700001,58.719318,5276500
2018-03-28,60.840000,61.959999,60.750999,61.369999,59.367455,4778200
2018-03-29,61.790001,62.619999,61.685001,62.290001,60.257435,5001900
2018-04-02,61.939999,62.000000,59.790001,60.060001,58.100204,5294200
2018-04-03,60.619999,60.660000,59.480000,60.240002,58.274326,6325300
