Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,259.769989,267.500000,257.570007,267.010010,258.640350,3313500
2018-01-03,267.290009,270.730011,266.029999,269.929993,261.468842,3116100
2018-01-04,271.589996,271.760010,268.429993,270.019989,261.555969,1906700
2018-01-05,271.970001,274.260010,269.450012,271.619995,263.105865,2863300
2018-01-08,270.920013,272.549988,269.059998,272.269989,263.735443,2097100
2018-01-09,273.059998,273.850006,268.190002,268.500000,260.083618,2602700
2018-01-10,265.980011,266.140015,260.730011,262.829987,254.591354,3160700
2018-01-11,263.570007,263.850006,261.549988,263.500000,255.240341,1772600
2018-01-12,263.390015,265.320007,262.010010,264.290009,256.005585,1988100
2018-01-16,265.179993,267.000000,261.660004,263.250000,254.998199,3352800
2018-01-17,265.480011,266.529999,260.459991,265.809998,257.477936,3727300
2018-01-18,265.459991,270.059998,264.480011,269.799988,261.342865,3031900
2018-01-19,269.149994,269.440002,266.070007,266.390015,258.039764,2996300
2018-01-22,265.649994,266.769989,260.619995,262.109985,253.893936,2723000
2018-01-23,261.739990,264.410004,258.109985,262.899994,254.659180,3539800
2018-01-24,260.970001,263.269989,256.000000,256.859985,248.808487,4540500
2018-01-25,257.739990,257.839996,247.000000,247.289993,239.538483,5952000
2018-01-26,249.419998,250.949997,245.240005,250.789993,242.928741,4901400
2018-01-29,248.279999,249.490005,243.490005,245.470001,237.775528,5040100
2018-01-30,241.250000,245.029999,237.009995,240.979996,233.426270,4600200
2018-01-31,250.000000,253.139999,244.860001,248.029999,240.255295,8048200
2018-02-01,241.720001,245.899994,238.100006,238.789993,231.304916,6685100
2018-02-02,236.770004,237.960007,234.089996,235.479996,228.098679,5835200
2018-02-05,234.679993,244.000000,227.600006,228.100006,220.950027,7077600
2018-02-06,225.619995,240.399994,224.899994,240.380005,232.845078,7774400
2018-02-07,238.759995,243.100006,237.000000,237.380005,229.939117,4047500
2018-02-08,237.389999,238.520004,229.509995,229.570007,222.373932,4320000
2018-02-09,232.789993,237.119995,226.250000,235.500000,228.118057,4328200
2018-02-12,237.860001,245.479996,237.500000,244.399994,236.739059,3506300
2018-02-13,241.009995,246.029999,240.059998,245.860001,238.153290,2371900
2018-02-14,245.000000,248.649994,243.479996,247.660004,239.896896,2549100
2018-02-15,249.279999,251.839996,244.429993,251.830002,243.936188,2554000
2018-02-16,251.270004,252.369995,248.039993,248.889999,241.088333,3263900
2018-02-20,248.750000,255.740005,247.520004,249.619995,241.795441,4169300
