Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,34.380001,35.380001,34.270000,35.360001,35.047771,3088700
2018-01-03,35.369999,36.240002,35.369999,35.930000,35.612736,3250400
2018-01-04,36.160000,36.220001,35.779999,36.169998,35.850616,2673300
2018-01-05,36.400002,36.439999,35.860001,36.349998,36.029026,4678700
2018-01-08,36.130001,36.189999,35.509998,35.849998,35.533443,4451200
2018-01-09,35.820000,36.369999,35.820000,36.180000,35.860527,4054000
2018-01-10,36.189999,36.290001,35.070000,35.320000,35.008121,6895000
2018-01-11,35.299999,35.919998,35.299999,35.799999,35.483883,2711900
2018-01-12,35.799999,36.480000,35.720001,36.369999,36.048851,2243900
2018-01-16,36.500000,36.529999,35.750000,35.790001,35.473972,3145700
2018-01-17,36.119999,36.540001,35.849998,36.490002,36.167793,3030900
2018-01-18,36.439999,36.439999,35.650002,35.730000,35.414501,3525900
2018-01-19,35.610001,36.259998,35.570000,36.259998,35.939819,5556900
2018-01-22,36.450001,37.070000,35.990002,36.959999,36.633640,3586000
2018-01-23,36.619999,37.320000,36.590000,37.189999,36.861607,3866100
2018-01-24,37.349998,37.970001,37.220001,37.490002,37.158962,2569200
2018-01-25,37.509998,37.840000,37.389999,37.730000,37.396843,2565800
2018-01-26,37.869999,38.430000,37.439999,38.320000,37.981632,2511100
2018-01-29,38.099998,38.520000,38.099998,38.139999,37.803223,2415500
2018-01-30,38.410000,38.560001,37.849998,37.880001,37.545521,2268600
2018-01-31,37.830002,37.840000,36.259998,36.490002,36.167793,3546300
2018-02-01,36.490002,37.150002,36.250000,36.709999,36.385849,2743600
2018-02-02,36.400002,36.930000,36.090000,36.220001,35.900177,2921100
2018-02-05,36.060001,37.049999,35.549999,35.560001,35.246002,5306900
2018-02-06,35.009998,36.439999,34.759998,36.419998,36.098404,7349300
2018-02-07,36.410000,36.959999,35.619999,35.700001,35.384769,4004200
2018-02-08,35.680000,35.959999,34.049999,34.090000,33.788982,4486400
2018-02-09,34.380001,35.480000,33.750000,35.189999,34.879269,5539800
2018-02-12,35.740002,36.389999,35.730000,35.950001,35.632557,3098200
2018-02-13,35.560001,36.380001,35.560001,36.189999,35.870441,1649900
2018-02-14,35.990002,36.400002,35.799999,36.180000,35.860527,2274500
2018-02-15,36.209999,36.730000,36.139999,36.650002,36.326378,2019200
2018-02-16,36.560001,37.259998,36.560001,37.040001,36.712933,2067500
