Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,34.770000,35.939999,34.720001,35.860001,35.547066,11040900
2018-01-03,35.990002,36.889999,35.970001,36.540001,36.221134,16122000
2018-01-04,36.669998,36.849998,36.389999,36.820000,36.498688,7092400
2018-01-05,36.900002,36.959999,36.490002,36.750000,36.429298,9002500
2018-01-08,36.490002,36.599998,35.900002,36.240002,35.923752,9719100
2018-01-09,36.220001,36.720001,36.209999,36.540001,36.221134,6216100
2018-01-10,36.549999,36.689999,35.310001,35.599998,35.289333,16875600
2018-01-11,35.700001,36.299999,35.599998,36.200001,35.884102,9659500
2018-01-12,36.279999,36.840000,36.119999,36.730000,36.409473,6824100
2018-01-16,36.820000,36.900002,36.259998,36.290001,35.973312,7149800
2018-01-17,36.529999,37.130001,36.340000,37.110001,36.786160,6157900
2018-01-18,36.910000,36.950001,36.000000,36.180000,35.864273,14253400
2018-01-19,36.029999,36.689999,35.970001,36.650002,36.330173,18037200
2018-01-22,36.790001,37.480000,36.410000,37.310001,36.984413,12209300
2018-01-23,37.000000,37.720001,36.750000,37.509998,37.182667,10364300
2018-01-24,37.689999,38.509998,37.599998,38.000000,37.668388,14594100
2018-01-25,38.080002,38.330002,37.930000,38.180000,37.846821,10643300
2018-01-26,38.250000,38.950001,37.860001,38.810001,38.471325,9805800
2018-01-29,38.700001,39.040001,38.610001,38.740002,38.401936,6416300
2018-01-30,38.939999,39.139999,38.459999,38.459999,38.124374,7355400
2018-01-31,38.520000,38.520000,36.669998,36.900002,36.577991,13190700
2018-02-01,36.910000,37.540001,36.680000,37.009998,36.687027,11816200
2018-02-02,36.779999,37.419998,36.560001,36.720001,36.399563,8101500
2018-02-05,36.599998,37.619999,36.060001,36.139999,35.824623,11535500
2018-02-06,35.430000,36.810001,35.150002,36.799999,36.478863,11840400
2018-02-07,36.840000,37.410000,35.990002,36.060001,35.745323,7492300
2018-02-08,36.090000,36.349998,34.529999,34.560001,34.258411,10237300
2018-02-09,34.770000,35.950001,34.119999,35.730000,35.418198,16932400
2018-02-12,36.340000,36.900002,36.180000,36.400002,36.082355,12469400
2018-02-13,35.990002,36.820000,35.869999,36.580002,36.260784,7189300
2018-02-14,36.189999,36.840000,36.189999,36.549999,36.231045,7000700
2018-02-15,36.700001,37.070000,36.490002,36.959999,36.637463,5141800
2018-02-16,36.889999,37.709999,36.860001,37.459999,37.133099,6700000
2018-02-20,37.320000,37.610001,37.029999,37.130001,36.805984,6047200
2018-02-21,37.139999,37.689999,37.029999,37.060001,36.736591,4568600
2018-02-22,37.240002,37.419998,37.009998,37.160000,36.835720,5411300
2018-02-23,37.400002,38.040001,37.130001,38.009998,37.678303,5003200
2018-02-26,38.070000,38.869999,38.020000,38.810001,38.471325,5077200
2018-02-27,38.410000,38.680000,37.599998,37.630001,37.301620,13552400
2018-02-28,37.759998,37.980000,36.820000,36.820000,36.498688,12903000
2018-03-01,36.820000,37.110001,35.820000,35.919998,35.606541,14516800
2018-03-02,35.860001,36.470001,35.529999,36.369999,36.052612,12110700
2018-03-05,36.139999,37.139999,36.000000,36.650002,36.330173,7910300
2018-03-06,36.639999,37.549999,36.529999,37.540001,37.212406,7878400
2018-03-07,37.240002,37.480000,36.669998,37.020000,36.696941,7465000
2018-03-08,37.180000,37.450001,36.930000,37.180000,36.855545,5040400
2018-03-09,37.320000,37.750000,37.270000,37.730000,37.400745,6126200
2018-03-12,37.730000,38.270000,37.580002,37.980000,37.648563,6028600
2018-03-13,38.000000,38.160000,37.240002,37.410000,37.260128,5760100
2018-03-14,37.520000,37.779999,37.389999,37.689999,37.539005,5041700
2018-03-15,37.639999,37.730000,37.130001,37.150002,37.001171,5544200
2018-03-16,37.299999,37.599998,37.130001,37.139999,36.991207,11581700
2018-03-19,36.950001,37.119999,36.419998,36.779999,36.632652,7417600
2018-03-20,36.910000,37.090000,36.560001,36.689999,36.543011,10694100
2018-03-21,36.650002,37.180000,36.599998,36.860001,36.712334,7774700
2018-03-22,36.540001,37.110001,36.189999,36.750000,36.602772,10276400
2018-03-23,36.779999,37.080002,36.090000,36.119999,35.975296,6805200
2018-03-26,36.590000,37.130001,36.299999,37.029999,36.881649,9190300
2018-03-27,37.209999,37.220001,36.250000,36.480000,36.333855,8955600
2018-03-28,36.599998,36.650002,35.849998,35.880001,35.736259,15568700
2018-03-29,36.090000,36.820000,35.869999,36.689999,36.543011,12500000
2018-04-02,36.459999,36.689999,35.680000,36.130001,35.985256,7373500
2018-04-03,36.209999,36.270000,35.580002,36.139999,35.995216,10411200
2018-04-04,35.880001,36.290001,35.450001,36.139999,35.995216,11128400
2018-04-05,36.340000,36.560001,35.830002,36.360001,36.214336,10937500
2018-04-06,36.130001,36.480000,35.400002,35.689999,35.547016,9260500
2018-04-09,35.869999,36.310001,35.590000,35.700001,35.556980,8126400
2018-04-10,36.040001,36.590000,35.750000,36.270000,36.124695,10140900
2018-04-11,35.750000,36.590000,35.700001,36.180000,36.035057,8436000
2018-04-12,36.240002,36.650002,36.160000,36.490002,36.343815,9373800
2018-04-13,36.610001,36.990002,36.520000,36.790001,36.642612,9890100
2018-04-16,37.139999,37.250000,36.720001,37.040001,36.891609,5975200
2018-04-17,37.279999,37.889999,37.130001,37.540001,37.389606,7517000
2018-04-18,37.580002,37.759998,37.240002,37.310001,37.160530,4484900
